abbreviation,name,capital,population,area_km2,official_language
ZH,Zürich,Zürich,1579967,1729,German
BE,Bern,Bern,1051437,5959,German
LU,Luzern,Luzern,420326,1493,German
UR,Uri,Altdorf,37317,1076,German
SZ,Schwyz,Schwyz,166636,908,German
OW,Obwalden,Sarnen,38435,491,German
NW,Nidwalden,Stans,44420,276,German
GL,Glarus,Glarus,41457,685,German
ZG,Zug,Zug,131164,239,German
FR,Fribourg,Fribourg,334465,1671,French
SO,Solothurn,Solothurn,282363,790,German
BS,Basel-Stadt,Basel,196735,37,German
BL,Basel-Landschaft,Liestal,292955,518,German
SH,Schaffhausen,Schaffhausen,85035,298,German
AR,Appenzell Ausserrhoden,Herisau,55759,243,German
AI,Appenzell Innerrhoden,Appenzell,16416,172,German
SG,St. Gallen,St. Gallen,521711,2031,German
GR,Graubünden,Chur,202538,7105,German
AG,Aargau,Aarau,711232,1404,German
TG,Thurgau,Frauenfeld,289573,992,German
TI,Ticino,Bellinzona,354023,2812,Italian
VD,Vaud,Lausanne,830431,3212,French
VS,Valais,Sion,357282,5224,French
NE,Neuchâtel,Neuchâtel,175894,802,French
GE,Genève,Genève,514114,282,French
JU,Jura,Delémont,73865,839,French
